id,kategori,deger,aciklama
0,C,28,Detay_0
1,D,327,Detay_1
2,A,425,Detay_2
3,C,315,Detay_3
4,C,95,Detay_4
5,D,310,Detay_5
6,A,240,Detay_6
7,A,447,Detay_7
8,C,387,Detay_8
9,B,91,Detay_9
10,C,380,Detay_10
11,C,353,Detay_11
12,C,266,Detay_12
13,C,498,Detay_13
14,D,331,Detay_14
15,A,177,Detay_15
16,D,161,Detay_16
17,D,241,Detay_17
18,D,61,Detay_18
19,C,11,Detay_19
20,B,198,Detay_20
21,A,420,Detay_21
22,B,203,Detay_22
23,D,352,Detay_23
24,D,426,Detay_24
25,B,427,Detay_25
26,B,455,Detay_26
27,B,297,Detay_27
28,D,268,Detay_28
29,D,64,Detay_29
30,A,292,Detay_30
31,A,213,Detay_31
32,D,17,Detay_32
33,B,285,Detay_33
34,B,189,Detay_34
35,A,282,Detay_35
36,D,118,Detay_36
37,A,298,Detay_37
38,A,320,Detay_38
39,C,212,Detay_39
40,C,338,Detay_40
41,C,107,Detay_41
42,B,373,Detay_42
43,D,464,Detay_43
44,D,409,Detay_44
45,D,356,Detay_45
46,D,88,Detay_46
47,C,329,Detay_47
48,B,97,Detay_48
49,B,366,Detay_49
50,C,378,Detay_50
51,B,177,Detay_51
52,C,195,Detay_52
53,D,92,Detay_53
54,C,32,Detay_54
55,D,112,Detay_55
56,D,360,Detay_56
57,A,359,Detay_57
58,C,16,Detay_58
59,A,452,Detay_59
60,C,118,Detay_60
61,C,324,Detay_61
62,A,379,Detay_62
63,A,268,Detay_63
64,C,495,Detay_64
65,B,121,Detay_65
66,D,295,Detay_66
67,A,261,Detay_67
68,D,403,Detay_68
69,B,107,Detay_69
70,B,22,Detay_70
71,B,176,Detay_71
72,A,86,Detay_72
73,B,457,Detay_73
74,A,290,Detay_74
75,B,178,Detay_75
76,D,235,Detay_76
77,D,433,Detay_77
78,C,327,Detay_78
79,D,49,Detay_79
80,C,497,Detay_80
81,D,427,Detay_81
82,A,344,Detay_82
83,D,12,Detay_83
84,C,445,Detay_84
85,C,260,Detay_85
86,B,311,Detay_86
87,A,351,Detay_87
88,D,107,Detay_88
89,B,334,Detay_89
90,D,306,Detay_90
91,D,479,Detay_91
92,B,325,Detay_92
93,B,166,Detay_93
94,B,401,Detay_94
95,B,363,Detay_95
96,B,13,Detay_96
97,D,290,Detay_97
98,B,261,Detay_98
99,A,443,Detay_99
100,C,264,Detay_100
101,B,416,Detay_101
102,B,418,Detay_102
103,D,363,Detay_103
104,B,335,Detay_104
105,B,107,Detay_105
106,B,158,Detay_106
107,D,117,Detay_107
108,B,359,Detay_108
109,C,132,Detay_109
110,D,321,Detay_110
111,C,268,Detay_111
112,D,88,Detay_112
113,B,414,Detay_113
114,C,220,Detay_114
115,D,476,Detay_115
116,A,186,Detay_116
117,B,311,Detay_117
118,D,391,Detay_118
119,A,491,Detay_119
120,D,384,Detay_120
121,A,343,Detay_121
122,B,77,Detay_122
123,C,296,Detay_123
124,A,311,Detay_124
125,D,468,Detay_125
126,B,437,Detay_126
127,A,310,Detay_127
128,D,468,Detay_128
129,D,442,Detay_129
130,D,269,Detay_130
131,A,134,Detay_131
132,A,217,Detay_132
133,A,450,Detay_133
134,C,321,Detay_134
135,A,175,Detay_135
136,A,271,Detay_136
137,A,347,Detay_137
138,C,226,Detay_138
139,A,417,Detay_139
140,D,445,Detay_140
141,A,304,Detay_141
142,D,120,Detay_142
143,D,82,Detay_143
144,D,174,Detay_144
145,C,107,Detay_145
146,C,427,Detay_146
147,C,392,Detay_147
148,A,49,Detay_148
149,D,257,Detay_149
150,C,177,Detay_150
151,C,302,Detay_151
152,A,135,Detay_152
153,C,485,Detay_153
154,A,59,Detay_154
155,B,276,Detay_155
156,C,215,Detay_156
157,B,324,Detay_157
158,A,419,Detay_158
159,D,453,Detay_159
160,C,261,Detay_160
161,A,17,Detay_161
162,D,293,Detay_162
163,D,221,Detay_163
164,B,69,Detay_164
165,A,265,Detay_165
166,D,354,Detay_166
167,C,275,Detay_167
168,C,72,Detay_168
169,B,198,Detay_169
170,D,340,Detay_170
171,A,163,Detay_171
172,C,160,Detay_172
173,D,456,Detay_173
174,D,156,Detay_174
175,B,155,Detay_175
176,C,187,Detay_176
177,C,156,Detay_177
178,A,240,Detay_178
179,C,241,Detay_179
180,A,280,Detay_180
181,C,25,Detay_181
182,B,413,Detay_182
183,C,156,Detay_183
