id,aciklama
0,Detay_0
1,Detay_1
2,Detay_2
3,Detay_3
4,Detay_4
5,Detay_5
6,Detay_6
7,Detay_7
8,Detay_8
9,Detay_9
10,Detay_10
11,Detay_11
12,Detay_12
13,Detay_13
14,Detay_14
15,Detay_15
16,Detay_16
17,Detay_17
18,Detay_18
19,Detay_19
20,Detay_20
21,Detay_21
22,Detay_22
23,Detay_23
24,Detay_24
25,Detay_25
26,Detay_26
27,Detay_27
28,Detay_28
29,Detay_29
30,Detay_30
31,Detay_31
32,Detay_32
33,Detay_33
34,Detay_34
35,Detay_35
36,Detay_36
37,Detay_37
38,Detay_38
39,Detay_39
40,Detay_40
41,Detay_41
42,Detay_42
43,Detay_43
44,Detay_44
45,Detay_45
46,Detay_46
47,Detay_47
48,Detay_48
49,Detay_49
50,Detay_50
51,Detay_51
52,Detay_52
53,Detay_53
54,Detay_54
55,Detay_55
56,Detay_56
57,Detay_57
58,Detay_58
59,Detay_59
60,Detay_60
61,Detay_61
62,Detay_62
63,Detay_63
64,Detay_64
65,Detay_65
66,Detay_66
67,Detay_67
68,Detay_68
69,Detay_69
70,Detay_70
71,Detay_71
72,Detay_72
73,Detay_73
74,Detay_74
75,Detay_75
76,Detay_76
77,Detay_77
78,Detay_78
79,Detay_79
80,Detay_80
81,Detay_81
82,Detay_82
83,Detay_83
84,Detay_84
85,Detay_85
86,Detay_86
87,Detay_87
88,Detay_88
89,Detay_89
90,Detay_90
91,Detay_91
92,Detay_92
93,Detay_93
94,Detay_94
95,Detay_95
96,Detay_96
97,Detay_97
98,Detay_98
99,Detay_99
100,Detay_100
101,Detay_101
102,Detay_102
103,Detay_103
104,Detay_104
105,Detay_105
106,Detay_106
107,Detay_107
108,Detay_108
109,Detay_109
110,Detay_110
111,Detay_111
112,Detay_112
113,Detay_113
114,Detay_114
115,Detay_115
116,Detay_116
117,Detay_117
118,Detay_118
119,Detay_119
120,Detay_120
121,Detay_121
122,Detay_122
123,Detay_123
124,Detay_124
125,Detay_125
126,Detay_126
127,Detay_127
128,Detay_128
129,Detay_129
130,Detay_130
131,Detay_131
132,Detay_132
133,Detay_133
134,Detay_134
135,Detay_135
136,Detay_136
137,Detay_137
138,Detay_138
139,Detay_139
140,Detay_140
141,Detay_141
142,Detay_142
143,Detay_143
144,Detay_144
145,Detay_145
146,Detay_146
147,Detay_147
148,Detay_148
149,Detay_149
150,Detay_150
151,Detay_151
152,Detay_152
153,Detay_153
154,Detay_154
155,Detay_155
156,Detay_156
157,Detay_157
158,Detay_158
159,Detay_159
160,Detay_160
161,Detay_161
162,Detay_162
163,Detay_163
164,Detay_164
165,Detay_165
166,Detay_166
167,Detay_167
168,Detay_168
169,Detay_169
170,Detay_170
171,Detay_171
172,Detay_172
173,Detay_173
174,Detay_174
175,Detay_175
176,Detay_176
177,Detay_177
178,Detay_178
179,Detay_179
180,Detay_180
181,Detay_181
182,Detay_182
183,Detay_183
184,Detay_184
185,Detay_185
186,Detay_186
187,Detay_187
188,Detay_188
189,Detay_189
190,Detay_190
191,Detay_191
192,Detay_192
193,Detay_193
194,Detay_194
195,Detay_195
196,Detay_196
197,Detay_197
198,Detay_198
199,Detay_199
200,Detay_200
201,Detay_201
202,Detay_202
203,Detay_203
204,Detay_204
205,Detay_205
206,Detay_206
207,Detay_207
208,Detay_208
209,Detay_209
210,Detay_210
211,Detay_211
212,Detay_212
213,Detay_213
214,Detay_214
215,Detay_215
216,Detay_216
217,Detay_217
218,Detay_218
219,Detay_219
220,Detay_220
221,Detay_221
222,Detay_222
223,Detay_223
224,Detay_224
225,Detay_225
226,Detay_226
227,Detay_227
228,Detay_228
229,Detay_229
230,Detay_230
231,Detay_231
232,Detay_232
233,Detay_233
234,Detay_234
235,Detay_235
236,Detay_236
237,Detay_237
238,Detay_238
239,Detay_239
240,Detay_240
241,Detay_241
242,Detay_242
243,Detay_243
244,Detay_244
245,Detay_245
246,Detay_246
247,Detay_247
248,Detay_248
249,Detay_249
250,Detay_250
251,Detay_251
252,Detay_252
253,Detay_253
254,Detay_254
255,Detay_255
256,Detay_256
257,Detay_257
258,Detay_258
259,Detay_259
260,Detay_260
261,Detay_261
262,Detay_262
263,Detay_263
264,Detay_264
265,Detay_265
266,Detay_266
267,Detay_267
268,Detay_268
269,Detay_269
270,Detay_270
271,Detay_271
272,Detay_272
273,Detay_273
274,Detay_274
275,Detay_275
276,Detay_276
277,Detay_277
278,Detay_278
279,Detay_279
280,Detay_280
281,Detay_281
282,Detay_282
283,Detay_283
284,Detay_284
285,Detay_285
286,Detay_286
287,Detay_287
288,Detay_288
289,Detay_289
290,Detay_290
291,Detay_291
292,Detay_292
293,Detay_293
294,Detay_294
295,Detay_295
296,Detay_296
297,Detay_297
298,Detay_298
299,Detay_299
300,Detay_300
301,Detay_301
302,Detay_302
303,Detay_303
304,Detay_304
305,Detay_305
306,Detay_306
307,Detay_307
308,Detay_308
309,Detay_309
310,Detay_310
311,Detay_311
312,Detay_312
313,Detay_313
314,Detay_314
315,Detay_315
316,Detay_316
317,Detay_317
318,Detay_318
319,Detay_319
320,Detay_320
321,Detay_321
322,Detay_322
323,Detay_323
324,Detay_324
325,Detay_325
326,Detay_326
327,Detay_327
328,Detay_328
329,Detay_329
330,Detay_330
331,Detay_331
332,Detay_332
333,Detay_333
334,Detay_334
335,Detay_335
336,Detay_336
337,Detay_337
338,Detay_338
339,Detay_339
340,Detay_340
341,Detay_341
342,Detay_342
343,Detay_343
344,Detay_344
345,Detay_345
346,Detay_346
347,Detay_347
348,Detay_348
349,Detay_349
350,Detay_350
351,Detay_351
352,Detay_352
353,Detay_353
354,Detay_354
355,Detay_355
356,Detay_356
357,Detay_357
358,Detay_358
359,Detay_359
360,Detay_360
361,Detay_361
362,Detay_362
363,Detay_363
364,Detay_364
365,Detay_365
366,Detay_366
367,Detay_367
368,Detay_368
369,Detay_369
370,Detay_370
371,Detay_371
372,Detay_372
373,Detay_373
374,Detay_374
375,Detay_375
376,Detay_376
377,Detay_377
378,Detay_378
379,Detay_379
380,Detay_380
381,Detay_381
382,Detay_382
383,Detay_383
384,Detay_384
385,Detay_385
386,Detay_386
387,Detay_387
388,Detay_388
389,Detay_389
390,Detay_390
391,Detay_391
392,Detay_392
393,Detay_393
394,Detay_394
395,Detay_395
396,Detay_396
397,Detay_397
398,Detay_398
399,Detay_399
400,Detay_400
401,Detay_401
402,Detay_402
403,Detay_403
404,Detay_404
405,Detay_405
406,Detay_406
407,Detay_407
408,Detay_408
409,Detay_409
410,Detay_410
411,Detay_411
412,Detay_412
413,Detay_413
414,Detay_414
415,Detay_415
416,Detay_416
417,Detay_417
418,Detay_418
419,Detay_419
420,Detay_420
421,Detay_421
422,Detay_422
423,Detay_423
424,Detay_424
425,Detay_425
426,Detay_426
427,Detay_427
428,Detay_428
429,Detay_429
430,Detay_430
431,Detay_431
432,Detay_432
433,Detay_433
434,Detay_434
435,Detay_435
436,Detay_436
437,Detay_437
438,Detay_438
439,Detay_439
440,Detay_440
441,Detay_441
442,Detay_442
443,Detay_443
444,Detay_444
445,Detay_445
446,Detay_446
447,Detay_447
448,Detay_448
449,Detay_449
450,Detay_450
451,Detay_451
452,Detay_452
453,Detay_453
454,Detay_454
455,Detay_455
456,Detay_456
457,Detay_457
458,Detay_458
459,Detay_459
460,Detay_460
461,Detay_461
462,Detay_462
463,Detay_463
464,Detay_464
465,Detay_465
466,Detay_466
467,Detay_467
468,Detay_468
469,Detay_469
470,Detay_470
471,Detay_471
472,Detay_472
473,Detay_473
474,Detay_474
475,Detay_475
476,Detay_476
477,Detay_477
478,Detay_478
479,Detay_479
480,Detay_480
481,Detay_481
482,Detay_482
483,Detay_483
484,Detay_484
485,Detay_485
486,Detay_486
487,Detay_487
488,Detay_488
489,Detay_489
490,Detay_490
491,Detay_491
492,Detay_492
493,Detay_493
494,Detay_494
495,Detay_495
496,Detay_496
497,Detay_497
498,Detay_498
499,Detay_499
500,Detay_500
501,Detay_501
502,Detay_502
503,Detay_503
504,Detay_504
505,Detay_505
506,Detay_506
507,Detay_507
508,Detay_508
509,Detay_509
510,Detay_510
511,Detay_511
512,Detay_512
513,Detay_513
514,Detay_514
515,Detay_515
516,Detay_516
517,Detay_517
518,Detay_518
519,Detay_519
520,Detay_520
521,Detay_521
522,Detay_522
523,Detay_523
524,Detay_524
525,Detay_525
526,Detay_526
527,Detay_527
528,Detay_528
529,Detay_529
530,Detay_530
531,Detay_531
532,Detay_532
533,Detay_533
534,Detay_534
535,Detay_535
536,Detay_536
537,Detay_537
538,Detay_538
539,Detay_539
540,Detay_540
541,Detay_541
542,Detay_542
543,Detay_543
544,Detay_544
545,Detay_545
546,Detay_546
547,Detay_547
548,Detay_548
549,Detay_549
550,Detay_550
551,Detay_551
552,Detay_552
553,Detay_553
