"id","kategori","deger"
"2","A","425"
"6","A","240"
"7","A","447"
"15","A","177"
"21","A","420"
"30","A","292"
"31","A","213"
"35","A","282"
"37","A","298"
"38","A","320"
"57","A","359"
"59","A","452"
"62","A","379"
"63","A","268"
"67","A","261"
"72","A","86"
"74","A","290"
"82","A","344"
"87","A","351"
"99","A","443"
"116","A","186"
"119","A","491"
"121","A","343"
"124","A","311"
"127","A","310"
"131","A","134"
"132","A","217"
"133","A","450"
"135","A","175"
"136","A","271"
"137","A","347"
"139","A","417"
"141","A","304"
"148","A","49"
"152","A","135"
"154","A","59"
"158","A","419"
"161","A","17"
"165","A","265"
"171","A","163"
"178","A","240"
"180","A","280"
"184","A","468"
"185","A","464"
"192","A","59"
"198","A","156"
"203","A","362"
"205","A","487"
"209","A","44"
"212","A","377"
"215","A","115"
"217","A","380"
"226","A","233"
"228","A","138"
"229","A","442"
"243","A","461"
"246","A","89"
"247","A","53"
"248","A","87"
"251","A","190"
"253","A","283"
"254","A","433"
"260","A","292"
"262","A","147"
"263","A","84"
"274","A","332"
"276","A","459"
"278","A","431"
"286","A","297"
"287","A","294"
"288","A","387"
"290","A","426"
"292","A","282"
"298","A","278"
"300","A","397"
"301","A","328"
"305","A","338"
"317","A","380"
"321","A","426"
"330","A","232"
"331","A","135"
"336","A","307"
"351","A","433"
"352","A","427"
"358","A","487"
"361","A","109"
"362","A","299"
"374","A","395"
"377","A","38"
"379","A","497"
"383","A","452"
"384","A","446"
"388","A","183"
"389","A","337"
"399","A","164"
"403","A","231"
"413","A","377"
"415","A","154"
"416","A","304"
"425","A","271"
"426","A","483"
"428","A","330"
"430","A","39"
"432","A","95"
"440","A","254"
"442","A","378"
"454","A","192"
"461","A","216"
"463","A","379"
"467","A","322"
"468","A","313"
"470","A","462"
"476","A","125"
"478","A","118"
"482","A","102"
"484","A","324"
"488","A","233"
"489","A","498"
"491","A","389"
"492","A","145"
"494","A","451"
"498","A","316"
"501","A","75"
"502","A","197"
"505","A","287"
"510","A","490"
"530","A","207"
"532","A","35"
"533","A","212"
"538","A","245"
"544","A","238"
"546","A","89"
"550","A","93"
"552","A","367"
"554","A","479"
"572","A","394"
"576","A","45"
"581","A","33"
"589","A","455"
"590","A","146"
"592","A","312"
"596","A","116"
"600","A","487"
"610","A","455"
"616","A","86"
"624","A","358"
"626","A","244"
"630","A","155"
"632","A","411"
"633","A","427"
"636","A","296"
"643","A","451"
"645","A","219"
"646","A","361"
"647","A","446"
"649","A","71"
"653","A","377"
"655","A","264"
"662","A","89"
"664","A","202"
"665","A","34"
"668","A","169"
"670","A","150"
"675","A","13"
"681","A","195"
"684","A","146"
"687","A","22"
"692","A","284"
"702","A","445"
"704","A","432"
"705","A","291"
"712","A","314"
"723","A","13"
"724","A","368"
"725","A","368"
"728","A","290"
"731","A","193"
"732","A","284"
"737","A","214"
"738","A","55"
"743","A","225"
"748","A","338"
"751","A","401"
"758","A","222"
"762","A","149"
"764","A","21"
"766","A","230"
"769","A","305"
"770","A","364"
"771","A","294"
"772","A","385"
"775","A","153"
"776","A","265"
"780","A","294"
"785","A","174"
"792","A","245"
"794","A","344"
"796","A","405"
"798","A","434"
"800","A","251"
"802","A","116"
"803","A","222"
"807","A","455"
"809","A","151"
"812","A","84"
"815","A","440"
"816","A","198"
"819","A","292"
"830","A","365"
"831","A","431"
"834","A","92"
"837","A","470"
"839","A","372"
"842","A","466"
"844","A","304"
"845","A","29"
"852","A","405"
"855","A","479"
"861","A","31"
"865","A","94"
"866","A","40"
"870","A","267"
"873","A","499"
"878","A","118"
"879","A","44"
"880","A","400"
"885","A","496"
"886","A","284"
"889","A","106"
"892","A","22"
"893","A","443"
"900","A","273"
"911","A","166"
"912","A","93"
"920","A","234"
"922","A","464"
"924","A","352"
"926","A","304"
"929","A","427"
"932","A","310"
"933","A","362"
"935","A","315"
"937","A","165"
"941","A","21"
"943","A","342"
"944","A","385"
"946","A","283"
"949","A","275"
"952","A","277"
"957","A","497"
"960","A","267"
"961","A","38"
"965","A","366"
"966","A","171"
"972","A","186"
"983","A","34"
"995","A","250"
"996","A","228"
"1002","A","294"
"1003","A","12"
"1004","A","286"
"1005","A","424"
"1007","A","232"
"1010","A","361"
"1011","A","289"
"1014","A","12"
"1019","A","355"
"1021","A","47"
"1028","A","170"
"1029","A","131"
"1032","A","459"
"1034","A","198"
"1038","A","146"
"1040","A","158"
"1043","A","291"
"1047","A","282"
"1048","A","260"
"1049","A","181"
"1051","A","138"
"1054","A","209"
"1055","A","451"
"1060","A","161"
"1061","A","180"
"1063","A","383"
"1066","A","125"
"1068","A","274"
"1069","A","459"
"1070","A","227"
"1074","A","20"
"1075","A","458"
"1077","A","238"
"1079","A","17"
"1081","A","219"
"1082","A","274"
"1085","A","468"
"1086","A","311"
"1103","A","309"
"1106","A","361"
"1110","A","419"
"1111","A","466"
"1117","A","153"
"1118","A","487"
"1139","A","31"
"1141","A","378"
"1149","A","257"
"1150","A","461"
"1151","A","217"
"1155","A","150"
"1157","A","262"
"1161","A","426"
"1164","A","372"
"1166","A","44"
"1174","A","208"
"1187","A","426"
"1192","A","231"
"1195","A","188"
"1199","A","450"
"1200","A","210"
"1204","A","482"
"1206","A","108"
"1208","A","258"
"1209","A","67"
"1210","A","238"
"1215","A","311"
"1218","A","395"
"1220","A","304"
"1222","A","426"
"1224","A","40"
"1232","A","182"
"1233","A","176"
"1236","A","370"
"1238","A","226"
"1240","A","424"
"1254","A","130"
"1268","A","157"
"1276","A","144"
"1278","A","315"
"1282","A","352"
"1283","A","78"
"1289","A","124"
"1290","A","308"
"1291","A","30"
"1293","A","41"
"1297","A","363"
"1298","A","96"
"1308","A","170"
"1312","A","365"
"1313","A","439"
"1322","A","366"
"1324","A","303"
"1325","A","57"
"1326","A","436"
"1327","A","37"
"1329","A","434"
"1343","A","61"
"1349","A","481"
"1362","A","107"
"1368","A","311"
"1375","A","249"
"1377","A","295"
"1384","A","310"
"1386","A","326"
"1389","A","211"
"1394","A","128"
"1399","A","245"
"1402","A","244"
"1407","A","494"
"1412","A","366"
"1416","A","212"
"1418","A","314"
"1419","A","120"
"1420","A","293"
"1421","A","256"
"1430","A","43"
"1431","A","81"
"1437","A","491"
"1440","A","131"
