id,kategori,deger
0,C,28
1,D,327
2,A,425
3,C,315
4,C,95
5,D,310
6,A,240
7,A,447
8,C,387
9,B,91
10,C,380
11,C,353
12,C,266
13,C,498
14,D,331
15,A,177
16,D,161
17,D,241
18,D,61
19,C,11
20,B,198
21,A,420
22,B,203
23,D,352
24,D,426
25,B,427
26,B,455
27,B,297
28,D,268
29,D,64
30,A,292
31,A,213
32,D,17
33,B,285
34,B,189
35,A,282
36,D,118
37,A,298
38,A,320
39,C,212
40,C,338
41,C,107
42,B,373
43,D,464
44,D,409
45,D,356
46,D,88
47,C,329
48,B,97
49,B,366
50,C,378
51,B,177
52,C,195
53,D,92
54,C,32
55,D,112
56,D,360
57,A,359
58,C,16
59,A,452
60,C,118
61,C,324
62,A,379
63,A,268
64,C,495
65,B,121
66,D,295
67,A,261
68,D,403
69,B,107
70,B,22
71,B,176
72,A,86
73,B,457
74,A,290
75,B,178
76,D,235
77,D,433
78,C,327
79,D,49
80,C,497
81,D,427
82,A,344
83,D,12
84,C,445
85,C,260
86,B,311
87,A,351
88,D,107
89,B,334
90,D,306
91,D,479
92,B,325
93,B,166
94,B,401
95,B,363
96,B,13
97,D,290
98,B,261
99,A,443
100,C,264
101,B,416
102,B,418
103,D,363
104,B,335
105,B,107
106,B,158
107,D,117
108,B,359
109,C,132
110,D,321
111,C,268
112,D,88
113,B,414
114,C,220
115,D,476
116,A,186
117,B,311
118,D,391
119,A,491
120,D,384
121,A,343
122,B,77
123,C,296
124,A,311
125,D,468
126,B,437
127,A,310
128,D,468
129,D,442
130,D,269
131,A,134
132,A,217
133,A,450
134,C,321
135,A,175
136,A,271
137,A,347
138,C,226
139,A,417
140,D,445
141,A,304
142,D,120
143,D,82
144,D,174
145,C,107
146,C,427
147,C,392
148,A,49
149,D,257
150,C,177
151,C,302
152,A,135
153,C,485
154,A,59
155,B,276
156,C,215
157,B,324
158,A,419
159,D,453
160,C,261
161,A,17
162,D,293
163,D,221
164,B,69
165,A,265
166,D,354
167,C,275
168,C,72
169,B,198
170,D,340
171,A,163
172,C,160
173,D,456
174,D,156
175,B,155
176,C,187
177,C,156
178,A,240
179,C,241
180,A,280
181,C,25
182,B,413
183,C,156
184,A,468
185,A,464
186,B,412
187,C,353
188,C,296
189,B,445
190,C,185
191,C,17
192,A,59
193,C,198
194,C,97
195,B,401
196,B,22
197,D,211
198,A,156
199,C,443
200,C,416
201,D,450
202,C,371
203,A,362
204,D,167
205,A,487
206,D,422
207,D,494
208,B,70
209,A,44
210,C,402
211,C,465
212,A,377
213,C,290
214,C,386
215,A,115
216,D,329
217,A,380
218,D,119
219,C,302
220,C,303
221,C,273
222,B,483
223,D,340
224,B,433
225,B,288
226,A,233
227,B,182
228,A,138
